,createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
64,2021-12-02 09:02:44.571,92,8942,충북,忠北,Chungcheongbuk-do,49,8464,49,0,559,13644,2021년 12월 02일 00시,null
65,2021-12-02 09:02:44.57,75,8889,강원,江原,Gangwon-do,145,7952,142,3,576,13643,2021년 12월 02일 00시,null
66,2021-12-02 09:02:44.57,1215,136546,경기,京畿,Gyeonggi-do,1495,119023,1490,5,1017,13642,2021년 12월 02일 00시,null
67,2021-12-02 09:02:44.57,2,1588,세종,世宗,Sejong,8,1450,8,0,446,13641,2021년 12월 02일 00시,null
68,2021-12-02 09:02:44.57,57,5675,울산,蔚山,Ulsan,18,5519,18,0,500,13640,2021년 12월 02일 00시,null
69,2021-12-02 09:02:44.57,70,8809,대전,大田,Daejeon,166,8033,166,0,602,13639,2021년 12월 02일 00시,null
70,2021-12-02 09:02:44.569,30,6353,광주,光州,Gwangju,39,5884,39,0,438,13638,2021년 12월 02일 00시,null
71,2021-12-02 09:02:44.569,154,25299,인천,仁川,Incheon,355,21978,354,1,860,13637,2021년 12월 02일 00시,null
72,2021-12-02 09:02:44.569,317,19114,대구,大邱,Daegu,70,17964,69,1,790,13636,2021년 12월 02일 00시,null
73,2021-12-02 09:02:44.569,183,16555,부산,釜山,Busan,158,15022,157,1,488,13635,2021년 12월 02일 00시,null
74,2021-12-02 09:02:44.568,1136,158774,서울,首尔,Seoul,2268,133197,2262,6,1642,13634,2021년 12월 02일 00시,null
75,2021-12-02 09:02:44.568,3705,457612,합계,合计,Total,5266,400585,5242,24,883,13633,2021년 12월 02일 00시,null
76,2021-12-01 09:01:47.038,16,6469,검역,隔離區,Lazaretto,20,6288,0,20,-,13613,2021년 12월 01일 00시,null
77,2021-12-01 09:01:47.038,9,3731,제주,济州,Jeju,27,3430,27,0,553,13612,2021년 12월 01일 00시,null
78,2021-12-01 09:01:47.038,56,15142,경남,庆南,Gyeongsangnam-do,127,14160,126,1,453,13611,2021년 12월 01일 00시,null
79,2021-12-01 09:01:47.038,110,11365,경북,庆北,Gyeongsangbuk-do,97,10388,97,0,431,13610,2021년 12월 01일 00시,null
80,2021-12-01 09:01:47.037,26,4459,전남,全南,Jeollanam-do,40,4019,40,0,241,13609,2021년 12월 01일 00시,null
81,2021-12-01 09:01:47.037,76,6382,전북,全北,Jeollabuk-do,50,5850,50,0,354,13608,2021년 12월 01일 00시,null
82,2021-12-01 09:01:47.037,78,13025,충남,忠南,Chungcheongnam-do,96,11738,95,1,614,13607,2021년 12월 01일 00시,null
