,createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
108,2021-11-17 08:45:32.276,29,5694,광주,光州,Gwangju,34,5443,222,33,1,393,13334,2021년 11월 17일 00시,null
109,2021-11-17 08:45:32.275,121,21813,인천,仁川,Incheon,159,19530,2162,157,2,741,13333,2021년 11월 17일 00시,null
110,2021-11-17 08:45:32.275,291,18020,대구,大邱,Daegu,56,17148,581,54,2,745,13332,2021년 11월 17일 00시,null
111,2021-11-17 08:45:32.275,174,14978,부산,釜山,Busan,103,14028,776,103,0,442,13331,2021년 11월 17일 00시,null
112,2021-11-17 08:45:32.275,898,134948,서울,首尔,Seoul,1436,119371,14679,1432,4,1396,13330,2021년 11월 17일 00시,null
113,2021-11-17 08:45:32.274,3158,402775,합계,合计,Total,3187,366089,33528,3163,24,777,13329,2021년 11월 17일 00시,null
114,2021-11-16 08:46:07.652,16,6364,검역,隔離區,Lazaretto,1,6219,129,0,1,-,13328,2021년 11월 16일 00시,null
115,2021-11-16 08:46:07.652,7,3327,제주,济州,Jeju,43,3140,180,43,0,493,13327,2021년 11월 16일 00시,null
116,2021-11-16 08:46:07.652,46,13905,경남,庆南,Gyeongsangnam-do,45,13127,732,45,0,416,13326,2021년 11월 16일 00시,null
117,2021-11-16 08:46:07.652,98,10378,경북,庆北,Gyeongsangbuk-do,9,9767,513,9,0,393,13325,2021년 11월 16일 00시,null
118,2021-11-16 08:46:07.651,25,3889,전남,全南,Jeollanam-do,29,3630,234,29,0,210,13324,2021년 11월 16일 00시,null
119,2021-11-16 08:46:07.651,69,5748,전북,全北,Jeollabuk-do,56,5271,408,55,1,319,13323,2021년 11월 16일 00시,null
120,2021-11-16 08:46:07.651,68,11655,충남,忠南,Chungcheongnam-do,42,10772,815,42,0,549,13322,2021년 11월 16일 00시,null
121,2021-11-16 08:46:07.651,88,8411,충북,忠北,Chungcheongbuk-do,28,8018,305,28,0,525,13321,2021년 11월 16일 00시,null
122,2021-11-16 08:46:07.65,68,7696,강원,江原,Gangwon-do,51,7290,338,51,0,499,13320,2021년 11월 16일 00시,null
123,2021-11-16 08:46:07.65,1036,119695,경기,京畿,Gyeonggi-do,658,108390,10269,653,5,891,13319,2021년 11월 16일 00시,null
124,2021-11-16 08:46:07.65,2,1409,세종,世宗,Sejong,6,1375,32,6,0,396,13318,2021년 11월 16일 00시,null
125,2021-11-16 08:46:07.65,57,5528,울산,蔚山,Ulsan,9,5412,59,9,0,487,13317,2021년 11월 16일 00시,null
126,2021-11-16 08:46:07.65,56,7920,대전,大田,Daejeon,35,7575,289,35,0,541,13316,2021년 11월 16일 00시,null
127,2021-11-16 08:46:07.649,29,5660,광주,光州,Gwangju,11,5432,199,11,0,390,13315,2021년 11월 16일 00시,null
128,2021-11-16 08:46:07.649,120,21654,인천,仁川,Incheon,131,19456,2078,131,0,736,13314,2021년 11월 16일 00시,null
129,2021-11-16 08:46:07.649,290,17964,대구,大邱,Daegu,38,17095,579,38,0,743,13313,2021년 11월 16일 00시,null
130,2021-11-16 08:46:07.649,172,14875,부산,釜山,Busan,87,13964,739,86,1,439,13312,2021년 11월 16일 00시,null
131,2021-11-16 08:46:07.648,890,133513,서울,首尔,Seoul,846,118566,14057,839,7,1381,13311,2021년 11월 16일 00시,null
132,2021-11-16 08:46:07.648,3137,399591,합계,合计,Total,2125,364499,31955,2110,15,771,13310,2021년 11월 16일 00시,null
133,2021-11-15 09:43:21.875,16,6363,검역,隔離區,Lazaretto,5,6219,128,0,5,-,13309,2021년 11월 15일 00시,null
134,2021-11-15 09:43:21.875,7,3284,제주,济州,Jeju,10,3136,141,10,0,487,13308,2021년 11월 15일 00시,null
135,2021-11-15 09:43:21.875,45,13860,경남,庆南,Gyeongsangnam-do,46,13079,736,44,2,415,13307,2021년 11월 15일 00시,null
136,2021-11-15 09:43:21.874,98,10369,경북,庆北,Gyeongsangbuk-do,34,9718,553,34,0,393,13306,2021년 11월 15일 00시,null
137,2021-11-15 09:43:21.874,24,3860,전남,全南,Jeollanam-do,19,3595,241,19,0,208,13305,2021년 11월 15일 00시,null
138,2021-11-15 09:43:21.874,69,5692,전북,全北,Jeollabuk-do,38,5241,382,38,0,316,13304,2021년 11월 15일 00시,null
139,2021-11-15 09:43:21.874,68,11613,충남,忠南,Chungcheongnam-do,57,10673,872,57,0,548,13303,2021년 11월 15일 00시,null
140,2021-11-15 09:43:21.873,87,8383,충북,忠北,Chungcheongbuk-do,18,7966,330,18,0,524,13302,2021년 11월 15일 00시,null
141,2021-11-15 09:43:21.873,68,7645,강원,江原,Gangwon-do,35,7237,340,35,0,496,13301,2021년 11월 15일 00시,null
142,2021-11-15 09:43:21.873,1030,119036,경기,京畿,Gyeonggi-do,602,108075,9931,596,6,887,13300,2021년 11월 15일 00시,null
143,2021-11-15 09:43:21.873,2,1403,세종,世宗,Sejong,1,1374,27,1,0,394,13299,2021년 11월 15일 00시,null
144,2021-11-15 09:43:21.873,57,5519,울산,蔚山,Ulsan,4,5404,58,3,1,486,13298,2021년 11월 15일 00시,null
145,2021-11-15 09:43:21.872,56,7885,대전,大田,Daejeon,33,7556,273,33,0,539,13297,2021년 11월 15일 00시,null
146,2021-11-15 09:43:21.872,29,5649,광주,光州,Gwangju,26,5412,208,25,1,390,13296,2021년 11월 15일 00시,null
147,2021-11-15 09:43:21.872,119,21523,인천,仁川,Incheon,102,19379,2025,102,0,731,13295,2021년 11월 15일 00시,null
